applicant_id,monitoring_month,jurisdiction,protected_group,age,annual_income,employment_years,debt_to_income,credit_history_years,missed_payments_12m,prior_default,loan_amount,product_type,actual_repaid,true_repayment_probability,predicted_repayment_probability,approved
A00-00074,0,US,Majority,21,44337.77,14.46,0.296,6.11,1,0,18826.66,personal,0,0.4089,0.36724132869755366,0
A00-00075,0,EU,Majority,51,51917.61,3.82,0.173,11.26,0,0,14647.75,personal,0,0.7023,0.6883561692744398,1
A00-00076,0,EU,Majority,62,53081.83,13.4,0.206,4.54,0,0,28065.73,personal,1,0.5382,0.5438600479875308,0
A00-00077,0,EU,Majority,40,65065.81,7.65,0.175,7.07,2,0,38600.09,personal,0,0.4524,0.520768859768546,0
A00-00078,0,US,Majority,21,106209.21,7.11,0.267,6.32,0,0,31595.57,auto,1,0.8319,0.7837016137344696,1
A00-00079,0,EU,Minority,46,43769.45,5.19,0.433,10.34,0,0,16819.19,home_improvement,0,0.5118,0.5190000804272603,0
A00-00080,0,US,Majority,29,49937.8,4.56,0.245,7.88,2,0,17175.62,personal,0,0.3817,0.3627896221924498,0
A00-00081,0,EU,Majority,32,46970.33,4.0,0.447,12.7,3,0,20641.87,personal,0,0.2813,0.30661545797070733,0
A00-00082,0,US,Minority,46,73575.35,13.65,0.361,2.49,0,0,16215.6,auto,0,0.6077,0.4928293449866224,0
A00-00083,0,US,Majority,42,67714.51,5.09,0.295,8.3,0,0,30651.62,personal,0,0.6301,0.6225234697363252,1
A00-00084,0,US,Majority,34,51471.7,7.73,0.332,6.2,2,0,36632.0,home_improvement,0,0.2918,0.37067285680547435,0
A00-00085,0,US,Majority,32,61606.88,8.69,0.497,3.6,0,0,21904.81,personal,0,0.3996,0.3093300666123566,0
A00-00086,0,US,Minority,40,46461.3,8.62,0.21,6.83,0,0,25898.42,personal,0,0.5347,0.5263663251627991,0
A00-00087,0,US,Majority,34,74121.93,6.47,0.529,15.43,2,0,21822.09,auto,1,0.6147,0.6127016906935595,1
A00-00088,0,US,Majority,27,119503.16,13.26,0.445,5.09,1,0,25683.75,personal,1,0.7393,0.6563042752094591,1
A00-00089,0,US,Majority,35,78966.42,7.39,0.327,7.99,2,0,26565.44,auto,1,0.5575,0.5413580711102876,0
A00-00090,0,EU,Majority,43,66733.22,3.94,0.472,3.25,3,0,19547.22,personal,1,0.1882,0.15971658401454744,0
A00-00091,0,EU,Minority,37,48865.47,4.69,0.336,1.26,0,0,18111.01,personal,1,0.3409,0.25598261547476414,0
A00-00092,0,EU,Majority,23,42975.4,2.03,0.364,5.35,2,0,11877.38,personal,0,0.2332,0.18410573844470376,0
A00-00093,0,US,Majority,50,82440.1,6.88,0.265,6.7,1,0,30574.58,auto,1,0.6574,0.6480790993582315,1
A00-00094,0,US,Majority,21,81407.73,8.09,0.446,6.88,2,0,37075.48,personal,0,0.4084,0.4076512438784533,0
A00-00095,0,EU,Majority,34,59644.08,8.49,0.245,7.6,1,0,33342.77,personal,0,0.5049,0.5293662330061114,0
A00-00096,0,US,Majority,32,91553.35,7.65,0.324,1.91,2,0,38361.32,auto,1,0.4509,0.42526312231459024,0
A00-00097,0,US,Majority,41,68901.03,5.2,0.411,6.0,2,0,21313.97,auto,0,0.3977,0.3528495215609556,0
A00-00098,0,EU,Majority,45,83220.45,5.79,0.456,10.51,1,0,31096.14,personal,0,0.6071,0.6086205314968263,1
A00-00099,0,EU,Minority,51,67127.74,5.8,0.276,1.67,0,0,16737.46,home_improvement,1,0.5275,0.47534724022675484,0
A00-00100,0,US,Minority,31,58134.42,9.93,0.465,5.68,2,0,33039.27,auto,0,0.2923,0.2879288715075351,0
A00-00101,0,EU,Minority,45,43357.19,1.5,0.257,8.27,1,0,37754.82,home_improvement,0,0.3851,0.49211564737656094,0
A00-00102,0,US,Majority,41,65734.8,4.37,0.072,5.37,1,0,33166.16,personal,0,0.5631,0.5863803343497329,1
A00-00103,0,EU,Minority,21,77498.96,3.02,0.285,8.47,0,0,40358.6,auto,0,0.7024,0.6947815129484836,1
A00-00104,0,US,Minority,60,51845.43,16.22,0.475,1.02,0,0,21390.34,personal,0,0.3262,0.26587941981176944,0
A00-00105,0,US,Minority,23,69855.09,11.02,0.374,10.65,0,0,25141.49,personal,1,0.6981,0.6657901209995013,1
A00-00106,0,EU,Majority,44,47928.02,4.48,0.266,9.96,2,0,18726.26,personal,1,0.4056,0.42058397366278516,0
A00-00107,0,US,Majority,43,83321.11,2.32,0.337,8.72,1,0,28164.19,personal,1,0.6181,0.6028056176948653,1
A00-00108,0,EU,Majority,42,74445.89,2.77,0.333,13.0,1,0,26204.73,home_improvement,1,0.6941,0.7425770577928641,1
A00-00109,0,US,Minority,34,38659.9,9.86,0.45,5.78,2,0,26796.23,home_improvement,1,0.2015,0.23362240927311478,0
A00-00110,0,EU,Majority,48,64243.72,1.99,0.137,6.03,2,0,23210.29,personal,1,0.4552,0.46189217565501123,0
A00-00111,0,EU,Majority,22,86197.38,5.84,0.318,13.99,2,0,22898.06,personal,1,0.711,0.7121931904197858,1
A00-00112,0,US,Majority,38,44578.38,8.98,0.345,15.86,1,0,28950.15,personal,1,0.5817,0.6499050446310413,1
A00-00113,0,EU,Majority,33,48151.95,2.6,0.166,5.73,1,0,22902.33,auto,1,0.4699,0.44069305741009257,0
A00-00114,0,US,Majority,32,67179.56,5.8,0.165,8.05,1,0,18375.52,personal,1,0.6353,0.6022683114549658,1
A00-00115,0,US,Minority,44,102033.28,4.53,0.331,11.28,6,0,11068.94,auto,1,0.4405,0.4478448480340824,0
A00-00116,0,US,Minority,51,48721.02,4.18,0.376,6.79,0,0,21860.56,personal,1,0.4443,0.40711976499398506,0
A00-00117,0,EU,Minority,35,70910.21,3.75,0.376,9.48,2,0,13194.03,auto,0,0.5354,0.4743927904292039,0
A00-00118,0,EU,Majority,48,73442.57,9.39,0.263,11.62,2,0,21701.67,home_improvement,1,0.6472,0.7106050091842546,1
A00-00119,0,EU,Majority,40,57299.12,12.31,0.258,6.25,1,0,24597.17,personal,1,0.4901,0.4807788780433932,0
A00-00120,0,EU,Majority,29,71561.53,4.96,0.283,10.18,0,0,28777.06,home_improvement,0,0.7223,0.7442693418694319,1
A00-00121,0,EU,Majority,36,59991.14,7.13,0.366,8.48,0,0,21998.52,home_improvement,0,0.6004,0.5999326664781945,1
A00-00122,0,US,Majority,36,61701.71,5.88,0.479,3.63,2,0,45969.09,auto,0,0.2208,0.24056682361601756,0
A00-00123,0,EU,Majority,31,36935.83,1.65,0.064,4.54,1,0,14201.07,personal,1,0.3992,0.3564552719644966,0
A00-00124,0,EU,Majority,44,68035.71,4.84,0.405,5.89,0,0,33997.68,auto,1,0.5448,0.512314107272462,0
A00-00125,0,US,Majority,42,85582.78,1.42,0.317,12.21,1,0,26409.56,personal,1,0.7217,0.7217570399703336,1
A00-00126,0,EU,Majority,22,69591.09,4.3,0.393,12.35,1,1,21330.76,home_improvement,0,0.3595,0.4046250856588801,0
A00-00127,0,US,Majority,21,89219.65,5.71,0.472,11.5,1,0,28571.95,auto,1,0.7036,0.6667438600818213,1
A00-00128,0,US,Majority,44,79526.22,8.58,0.239,10.26,4,0,24642.83,auto,0,0.4917,0.5412754902279378,0
A00-00129,0,US,Majority,30,67368.72,6.77,0.443,10.15,0,0,17144.21,auto,0,0.6785,0.6004293023949304,1
A00-00130,0,US,Majority,42,56569.41,9.53,0.18,9.61,0,1,41588.38,personal,0,0.368,0.46832621470586594,0
A00-00131,0,US,Minority,48,52260.99,3.38,0.39,8.73,1,1,6817.12,auto,0,0.2386,0.20347813038121026,0
A00-00132,0,EU,Majority,25,40560.3,11.46,0.301,10.4,1,0,24467.82,home_improvement,1,0.4825,0.5411864515573065,0
A00-00133,0,EU,Majority,23,63425.5,12.32,0.336,2.88,1,0,26088.63,personal,0,0.3956,0.34094014315595933,0
A00-00134,0,US,Majority,57,71273.98,1.37,0.211,5.34,1,1,36188.45,personal,0,0.2382,0.2860817836311535,0
A00-00135,0,US,Majority,43,101093.0,1.91,0.382,4.38,1,0,25185.29,home_improvement,0,0.62,0.5883784254203837,1
A00-00136,0,US,Minority,34,71538.09,5.63,0.565,11.53,1,0,48911.12,personal,0,0.4485,0.5153403308382632,0
A00-00137,0,US,Majority,29,52067.77,4.11,0.213,15.12,2,0,30292.35,home_improvement,1,0.5817,0.7015064696225066,1
A00-00138,0,EU,Minority,33,34152.0,4.5,0.398,0.5,0,0,4973.96,personal,0,0.2462,0.1477244999876006,0
A00-00139,0,US,Majority,26,64575.51,6.74,0.433,14.76,0,0,16493.06,auto,1,0.7665,0.7243478895438914,1
A00-00140,0,EU,Majority,49,83923.52,9.74,0.294,8.85,0,0,31226.41,auto,1,0.7824,0.7730255040020513,1
A00-00141,0,EU,Majority,30,64308.29,3.26,0.493,12.55,1,0,14624.76,personal,0,0.5509,0.49600607191705637,0
A00-00142,0,EU,Minority,51,71797.7,10.64,0.323,9.13,2,0,29368.28,personal,0,0.5067,0.5461107253826656,0
A00-00143,0,EU,Majority,35,65058.62,3.71,0.316,14.26,0,0,22770.71,personal,1,0.7506,0.7462678445630826,1
A00-00144,0,US,Majority,28,82123.01,17.42,0.211,9.34,1,0,18397.75,auto,0,0.8002,0.7694534595309508,1
A00-00145,0,EU,Majority,34,38152.1,11.51,0.345,3.05,1,0,18536.06,personal,0,0.2653,0.2238818365148752,0
A00-00146,0,EU,Majority,21,98979.46,3.95,0.33,8.08,1,1,31278.77,personal,1,0.4214,0.4131993186025553,0
A00-00147,0,EU,Majority,38,47362.81,2.36,0.406,10.56,4,0,8392.54,auto,0,0.2389,0.22739511852870192,0
A00-00148,0,EU,Majority,37,83580.91,3.89,0.254,7.64,0,0,40137.4,home_improvement,1,0.7151,0.7579017362307083,1
A00-00149,0,EU,Majority,48,63328.5,3.56,0.248,11.13,0,0,32835.86,personal,1,0.6829,0.7116174746398699,1
A00-00150,0,EU,Minority,21,59299.27,7.99,0.43,6.84,1,0,25950.3,auto,0,0.4416,0.38950065046898324,0
A00-00151,0,US,Minority,52,56919.06,1.39,0.543,4.72,1,0,13692.91,home_improvement,1,0.2956,0.25756581418903524,0
A00-00152,0,EU,Majority,48,73356.49,1.93,0.405,4.16,2,0,32987.36,auto,0,0.3378,0.3255883373676562,0
A00-00153,0,EU,Majority,53,77192.97,7.87,0.552,6.93,4,0,22148.74,home_improvement,0,0.2257,0.2613208719100566,0
A00-00154,0,US,Majority,38,88608.87,3.47,0.397,9.32,0,0,17573.9,auto,0,0.7766,0.7014496961373576,1
A00-00155,0,EU,Majority,50,95251.03,4.33,0.392,0.66,4,0,47881.42,auto,0,0.2114,0.24339330096785872,0
A00-00156,0,US,Majority,23,74804.61,8.96,0.412,5.38,3,0,16729.22,auto,1,0.3587,0.2957224039980162,0
A00-00157,0,EU,Majority,47,101059.81,9.98,0.509,0.51,0,0,18038.33,personal,1,0.5838,0.4294574683262178,0
A00-00158,0,US,Minority,31,63266.48,11.21,0.524,4.63,0,0,25554.14,auto,0,0.4691,0.38076804814567317,0
A00-00159,0,US,Minority,21,81971.37,8.54,0.245,11.89,3,0,24692.76,auto,1,0.6383,0.6528459404600458,1
A00-00160,0,EU,Majority,27,76645.67,5.1,0.426,3.76,0,0,39866.07,personal,0,0.473,0.4328078523554427,0
A00-00161,0,US,Minority,39,51065.11,4.85,0.407,9.91,3,0,22845.85,personal,0,0.2609,0.28315557344858927,0
A00-00162,0,US,Majority,30,71943.45,4.51,0.307,19.9,0,0,22483.22,auto,1,0.8902,0.895504268146554,1
A00-00163,0,US,Majority,43,78060.27,2.6,0.117,14.31,1,0,27960.49,personal,1,0.8074,0.8375027257673617,1
A00-00164,0,US,Majority,21,67888.24,3.18,0.145,9.03,2,0,25861.2,personal,0,0.5513,0.5598160976547951,1
A00-00165,0,EU,Majority,21,76344.27,10.41,0.286,11.93,0,0,26785.39,personal,1,0.7871,0.7733934626046093,1
A00-00166,0,EU,Minority,54,77941.9,3.69,0.199,1.62,1,0,26326.6,personal,0,0.4882,0.446823008962344,0
A00-00167,0,US,Minority,49,61055.91,2.61,0.334,0.81,1,0,25993.81,auto,1,0.3291,0.27425314865371964,0
A00-00168,0,EU,Majority,27,18000.0,10.89,0.416,8.61,0,0,20938.2,personal,1,0.3153,0.2944398589184291,0
A00-00169,0,US,Minority,39,93387.13,6.5,0.305,8.69,1,0,32762.85,personal,0,0.6992,0.697107247295448,1
A00-00170,0,EU,Majority,50,62845.76,1.13,0.34,12.88,1,0,25645.31,personal,1,0.5943,0.6199970386280418,1
A00-00171,0,US,Majority,44,52857.68,13.81,0.202,6.22,0,0,31133.2,home_improvement,0,0.5958,0.6504410806090797,1
A00-00172,0,US,Majority,41,47141.9,13.01,0.366,9.27,0,0,37115.19,home_improvement,1,0.527,0.6124860331164929,1
A00-00173,0,US,Minority,51,55107.53,2.77,0.436,7.74,0,0,18164.34,personal,0,0.48,0.4211677193135372,0
A00-00174,0,EU,Majority,31,57807.79,5.42,0.159,7.97,0,0,43536.93,personal,1,0.6014,0.6510868181148851,1
A00-00175,0,US,Majority,39,54496.82,3.03,0.24,8.21,2,0,20351.79,personal,1,0.4052,0.4053076593992966,0
A00-00176,0,US,Majority,39,55539.6,3.01,0.178,5.08,0,0,18880.14,personal,1,0.5572,0.4970786216411429,0
A00-00177,0,EU,Minority,36,71565.11,4.43,0.436,8.22,0,0,30059.46,auto,1,0.6179,0.5732038167992332,1
A00-00178,0,EU,Minority,35,100076.91,8.13,0.395,7.88,1,0,30833.94,auto,1,0.7241,0.6874778234934958,1
A00-00179,0,US,Minority,40,77090.86,8.15,0.369,5.34,0,0,29606.25,auto,1,0.6346,0.5789930592926259,1
A00-00180,0,EU,Minority,39,82829.37,7.59,0.36,9.76,3,0,33266.17,home_improvement,0,0.4739,0.5683944247369541,1
A00-00181,0,EU,Minority,27,54329.21,5.09,0.414,11.21,1,0,25616.8,home_improvement,1,0.4947,0.5352704238499535,0
A00-00182,0,US,Majority,48,70488.64,8.4,0.371,11.21,2,0,42523.7,personal,1,0.4787,0.5752340025657665,1
A00-00183,0,EU,Majority,28,76603.17,2.59,0.271,4.33,2,0,26960.92,auto,1,0.4533,0.40887714845282624,0
A00-00184,0,US,Minority,37,48968.4,6.56,0.299,7.5,0,0,20601.75,personal,0,0.5232,0.48125175119464125,0
A00-00185,0,EU,Majority,36,60411.13,5.82,0.323,4.85,0,0,19175.24,auto,1,0.5595,0.46897018664885326,0
A00-00186,0,US,Majority,43,84736.49,4.91,0.307,8.89,0,0,29747.07,personal,1,0.7342,0.7163468992565729,1
A00-00187,0,EU,Majority,21,89215.56,6.71,0.577,4.87,1,0,31462.84,personal,0,0.4354,0.36032236460281886,0
A00-00188,0,US,Minority,49,62780.8,1.3,0.329,12.21,2,0,30685.59,personal,1,0.4757,0.5372405263914509,0
A00-00189,0,US,Majority,32,45792.01,3.07,0.365,11.63,2,0,16275.71,personal,0,0.3808,0.376135865791459,0
A00-00190,0,EU,Minority,52,55883.75,7.76,0.431,11.71,1,0,36859.68,personal,0,0.4708,0.538965636606532,0
A00-00191,0,US,Majority,34,41114.71,5.73,0.498,12.71,0,0,42436.83,auto,1,0.4776,0.5312774766496371,0
A00-00192,0,EU,Majority,38,69928.85,2.06,0.233,7.42,1,0,25391.3,personal,0,0.5635,0.5447647094639484,0
A00-00193,0,EU,Minority,60,66352.66,5.65,0.536,5.4,1,0,43524.2,home_improvement,0,0.3145,0.3886337721304689,0
A00-00194,0,EU,Majority,36,63356.5,4.13,0.312,15.47,0,0,34005.38,personal,0,0.746,0.7828627151480836,1
A00-00195,0,US,Majority,53,73092.51,10.55,0.63,7.84,2,0,43111.36,home_improvement,0,0.3021,0.39101347204543985,0
A00-00196,0,EU,Majority,39,76421.12,2.72,0.374,3.08,1,0,29201.13,personal,1,0.4069,0.35614801815358504,0
A00-00197,0,US,Minority,44,66380.38,2.78,0.228,11.13,1,0,26340.66,personal,1,0.6384,0.6580507917287476,1
A00-00198,0,US,Majority,40,45670.92,7.2,0.306,9.08,1,0,31635.72,personal,0,0.4175,0.45540423642695255,0
A00-00199,0,EU,Majority,48,63687.98,5.21,0.49,14.52,1,0,24067.98,personal,1,0.5835,0.6006605969179879,1
A00-00200,0,EU,Minority,31,69287.02,5.06,0.385,8.07,2,0,31035.48,personal,0,0.3973,0.40435300743566127,0
A00-00201,0,US,Minority,28,91495.52,17.48,0.368,7.02,3,0,41812.4,auto,1,0.5045,0.5488798175664454,0
A00-00202,0,US,Majority,32,63333.41,8.28,0.416,14.6,1,0,33200.88,personal,1,0.614,0.6599973971408767,1
A00-00203,0,EU,Majority,40,78965.96,4.68,0.289,2.35,1,0,25504.87,personal,0,0.4708,0.4082343776779352,0
A00-00204,0,EU,Majority,37,85184.89,1.87,0.305,6.16,1,0,25280.67,personal,1,0.5879,0.5383365072225694,0
A00-00205,0,US,Majority,47,64764.07,4.52,0.217,4.95,1,0,34585.06,auto,1,0.5066,0.5142857260213899,0
A00-00206,0,EU,Majority,53,90319.75,2.53,0.537,0.5,1,0,29833.11,personal,0,0.3394,0.2681842696758272,0
A00-00207,0,US,Majority,28,91341.3,3.19,0.183,11.99,1,0,32129.16,personal,1,0.7945,0.8064050752792596,1
A00-00208,0,US,Majority,31,94727.31,3.26,0.35,6.27,0,0,32221.38,personal,1,0.6993,0.6480535562848004,1
A00-00209,0,EU,Majority,23,77210.21,10.09,0.388,12.12,0,0,21891.55,auto,1,0.794,0.7530437571337646,1
A00-00210,0,EU,Minority,61,106342.61,2.18,0.373,8.66,1,0,18074.78,auto,0,0.7822,0.7294766125816344,1
A00-00211,0,US,Majority,42,56809.62,9.53,0.18,10.93,0,0,30371.77,personal,1,0.7062,0.7348030584335101,1
A00-00212,0,US,Majority,44,108857.47,7.39,0.21,6.68,0,0,31560.26,auto,1,0.8629,0.838652968448623,1
A00-00213,0,US,Minority,24,76097.69,7.33,0.438,4.04,2,0,34728.88,personal,0,0.3149,0.29546572547695826,0
A00-00214,0,EU,Minority,39,86967.36,3.11,0.281,7.46,2,0,23608.0,personal,1,0.5631,0.5393484171315382,0
